video,rally,gt_frame,gt_action,min_player_dist,direction_change_deg,verdict,generators_hit,n_candidate_frames_near_gt
wawa,82d549a6,551,ATTACK,0.047,149.3,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,deceleration,direction_change",1
kaka,ca5d5f57,396,ATTACK,0.054,63.5,NO_CANDIDATE_GENERATED,velocity_peak,0
wawa,8c49e480,338,ATTACK,0.067,172.7,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,deceleration,direction_change,net_crossing",2
kaka,1df0170d,467,ATTACK,0.068,86.3,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,direction_change,net_crossing",2
kaka,00087663,452,ATTACK,0.038,45.1,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,deceleration,direction_change",1
papa,047c5e5f,508,ATTACK,0.085,131.3,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,parabolic,direction_change",1
kaka,a265d8e4,333,ATTACK,0.084,175.4,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,direction_change,net_crossing",1
wawa,82d549a6,464,SET,0.041,168.8,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,parabolic,direction_change",3
kaka,f33d7ac8,213,SERVE,0.052,153.3,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,direction_change",2
titi,43b849ec,368,DIG,0.056,147.8,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,deceleration,direction_change,net_crossing",1
kaka,06bb6064,425,ATTACK,0.032,138.5,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,deceleration,direction_change",2
gaga,9e03194b,417,DIG,0.024,154.8,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,deceleration",1
juju,57d1327c,513,SET,0.101,148.8,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,deceleration,parabolic,direction_change,net_crossing",2
juju,57d1327c,553,ATTACK,0.092,144.3,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,parabolic,net_crossing",1
lulu,55565c2b,508,DIG,0.067,60.9,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,deceleration,direction_change",2
juju,e03ef981,209,DIG,0.14,88.8,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,parabolic,direction_change,net_crossing",2
juju,d810943e,298,DIG,0.1,173.6,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,parabolic,net_crossing",2
juju,acada27e,325,DIG,0.051,172.3,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,deceleration,direction_change,net_crossing",2
kiki,a0aba15e,658,ATTACK,0.063,178.3,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,deceleration,parabolic,direction_change,net_crossing",2
juju,acada27e,253,DIG,0.058,165.4,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,parabolic,direction_change,net_crossing",2
kaka,7b646ff4,190,SERVE,0.121,180.0,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,deceleration,direction_change",1
kaka,f33d7ac8,522,ATTACK,0.053,115.5,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,deceleration,direction_change",1
kaka,991cfe31,719,DIG,0.095,161.8,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,parabolic,direction_change",2
gigi,72c8229b,436,DIG,0.063,132.8,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,deceleration,parabolic,direction_change",2
pupu,e11fa028,203,SET,0.143,162.4,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,parabolic,direction_change,net_crossing",2
gigi,bc9345c1,217,ATTACK,0.041,176.8,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,net_crossing",2
gigi,5b6f0474,47,SERVE,0.108,159.9,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,deceleration,parabolic,direction_change,net_crossing",2
gigi,5b6f0474,219,ATTACK,0.074,80.8,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,parabolic,net_crossing",1
titi,4ad457f6,165,SET,0.068,175.6,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,parabolic,direction_change,net_crossing",1
veve,cecb6ebf,177,ATTACK,0.087,177.2,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,parabolic,direction_change,net_crossing",1
keke,3bd436b6,183,DIG,0.055,174.9,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,parabolic,direction_change,net_crossing",2
keke,00240f37,216,DIG,0.025,66.2,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,direction_change",2
keke,77026e92,288,ATTACK,0.122,153.1,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,direction_change,net_crossing",1
kiki,a0aba15e,265,RECEIVE,0.077,151.2,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,deceleration,direction_change",2
kiki,a0aba15e,777,DIG,0.084,177.7,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,parabolic,direction_change",1
kiki,0bc00f94,435,BLOCK,0.068,73.1,CANDIDATE_NEAR_BUT_NO_GENERATOR_HIT,(none),1
wawa,8c49e480,186,RECEIVE,0.043,163.3,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,parabolic,direction_change",2
wawa,8c49e480,251,SET,0.018,179.3,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,parabolic,direction_change",2
wawa,7f0f540a,197,SERVE,0.081,164.7,CANDIDATE_GENERATED_BUT_REJECTED,velocity_peak,1
wawa,11adfc2f,513,DIG,0.056,166.9,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,direction_change",2
pipi,75295533,206,DIG,0.148,102.9,NO_CANDIDATE_GENERATED,"velocity_peak,parabolic,net_crossing",0
toto,1d316b85,209,ATTACK,0.088,141.1,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,parabolic,direction_change",1
gaga,a11d3733,88,SERVE,0.082,46.7,NO_CANDIDATE_GENERATED,velocity_peak,0
papa,89c53e08,225,DIG,0.061,82.8,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,deceleration,net_crossing",1
yeye,fb0a3ea4,236,SERVE,0.055,125.6,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,direction_change",2
titi,ce7b8505,127,ATTACK,0.052,174.2,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,parabolic,direction_change,net_crossing",1
titi,42757e1a,179,ATTACK,0.09,162.7,CANDIDATE_GENERATED_BUT_REJECTED,"velocity_peak,inflection,parabolic,direction_change",1
yeye,9dbe457a,232,RECEIVE,0.019,165.6,NO_CANDIDATE_GENERATED,(none),0
yeye,9dbe457a,342,SET,0.018,173.3,NO_CANDIDATE_GENERATED,deceleration,0
yeye,3c8c1e44,441,DIG,0.054,162.4,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,deceleration,direction_change",1
yeye,3262960a,327,DIG,0.05,162.2,CANDIDATE_GENERATED_BUT_REJECTED,"inflection,parabolic",1
